handle,title,title_ka,product_type,vendor,tags,collection,daily_rate_gel,weekly_rate_gel,deposit_gel,brand,capacity,weight_kg,season_rating,condition_grade,whats_included,description,description_ka,seo_title,seo_title_ka,seo_description,seo_description_ka
camp-stove-jetboil,Jetboil Flash Cooking System Rental,Jetboil Flash სამზარეულო სისტემის გაქირავება,Cooking,Jetboil,"stove,cooking,beginner-friendly",cooking-water,12,32,40,Jetboil,1-person,0.37,All-season,Excellent,"Stove, pot, igniter, stabilizer, stuff sack (fuel NOT included)",Fast-boil integrated cooking system. Fuel canisters not included — available separately.,სწრაფი მოხარშვის ინტეგრირებული სამზარეულო სისტემა. საწვავის ბალონები არ შედის — ცალკე ხელმისაწვდომია.,Camp Stove Rental Tbilisi | [Your Brand],ბანაკის ღუმელის გაქირავება თბილისი | [Your Brand],Rent a Jetboil camp stove in Tbilisi. 12 GEL/day. Door delivery 5 GEL.,გაირიქავეთ Jetboil ბანაკის ღუმელი თბილისში. 12 ლარი/დღე. კარის მიწოდება 5 ლარი.
water-filter-sawyer,Sawyer Squeeze Water Filter Rental,Sawyer Squeeze წყლის ფილტრის გაქირავება,Water,Sawyer,"water-filter,cooking",cooking-water,8,22,25,Sawyer,Group,0.08,All-season,Excellent,"Filter, squeeze pouch, cleaning syringe, backwash adapter",Lightweight water filter for trail and camp use.,მსუბუქი წყლის ფილტრი ტრასისა და ბანაკის გამოყენებისთვის.,Water Filter Rental Tbilisi | [Your Brand],წყლის ფილტრის გაქირავება თბილისი | [Your Brand],Rent a Sawyer water filter in Tbilisi. 8 GEL/day. Essential for Georgian trail water.,გაირიქავეთ Sawyer წყლის ფილტრი თბილისში. 8 ლარი/დღე. აუცილებელია საქართველოს ტრასის წყლისთვის.
cookset-msr,MSR Trail Lite Duo Cookset Rental,MSR Trail Lite Duo ჭურჭლის კომპლექტის გაქირავება,Cooking,MSR,"cookware,cooking",cooking-water,8,22,25,MSR,2-person,0.28,All-season,Excellent,"Pot, lid, two mugs, stuff sack",Compact 2-person cookset for trail meals.,კომპაქტური 2 ადგილიანი ჭურჭლის კომპლექტი ტრასის კერძებისთვის.,Cookset Rental Tbilisi | [Your Brand],ჭურჭლის კომპლექტის გაქირავება თბილისი | [Your Brand],Rent an MSR cookset in Tbilisi. 8 GEL/day. Delivered to your door.,გაირიქავეთ MSR ჭურჭლის კომპლექტი თბილისში. 8 ლარი/დღე. კარის მიწოდება.
headlamp-blackdiamond,Black Diamond Spot 400 Headlamp Rental,Black Diamond Spot 400 ფარანის გაქირავება,Navigation,Black Diamond,"headlamp,safety,beginner-friendly",navigation-safety,5,14,15,Black Diamond,Individual,0.09,All-season,Excellent,"Headlamp, fresh batteries, instructions",400-lumen headlamp with red night vision mode.,400 ლუმენიანი ფარანი წითელი ღამის ხედვის რეჟიმით.,Headlamp Rental Tbilisi | [Your Brand],ფარანის გაქირავება თბილისი | [Your Brand],Rent a Black Diamond headlamp in Tbilisi from 5 GEL/day.,გაირიქავეთ Black Diamond ფარანი თბილისში 5 ლარიდან/დღე.
first-aid-kit,Adventure First Aid Kit Rental,სათავგადასავლო პირველადი დახმარების ნაკრების გაქირავება,Safety,Generic,"first-aid,safety,beginner-friendly",navigation-safety,5,14,15,Generic,Group,0.35,All-season,Excellent,"First aid kit in waterproof case",Comprehensive trail first aid kit for groups up to 4.,ყოვლისმომცველი პირველადი დახმარების ნაკრები ტრასისთვის 4 ადამიანამდე ჯგუფებისთვის.,First Aid Kit Rental Tbilisi | [Your Brand],პირველადი დახმარების ნაკრების გაქირავება თბილისი | [Your Brand],Rent a hiking first aid kit in Tbilisi. 5 GEL/day.,გაირიქავეთ ლაშქრობის პირველადი დახმარების ნაკრები თბილისში. 5 ლარი/დღე.
trekking-poles-pair,Trekking Poles Pair Rental,საფეხსაქმიე ჯოხების წყვილის გაქირავება,Navigation,Generic,"treking-poles,beginner-friendly",navigation-safety,6,16,20,Generic,Pair,0.48,All-season,Good,"Two poles, tips, baskets, stuff sack",Adjustable aluminum trekking poles. Reduce knee strain on descents.,რეგულირებადი ალუმინის საფეხსაქმიე ჯოხები. ამცირებს მუხლზე დატვირთვას ჩამოსვლისას.,Trekking Poles Rental Tbilisi | [Your Brand],საფეხსაქმიე ჯოხების გაქირავება თბილისი | [Your Brand],Rent trekking poles in Tbilisi from 6 GEL/day. Door delivery 5 GEL.,გაირიქავეთ საფეხსაქმიე ჯოხები თბილისში 6 ლარიდან/დღე. კარის მიწოდება 5 ლარი.
gps-garmin,Garmin eTrex 32x GPS Rental,Garmin eTrex 32x GPS-ის გაქირავება,Navigation,Garmin,"gps,navigation",navigation-safety,15,40,80,Garmin,Individual,0.14,All-season,Excellent,"GPS unit, lanyard, USB cable, instructions",Handheld GPS for off-trail navigation in remote areas.,ხელის GPS დაშორებულ რაიონებში ტრასის გარეთ ნავიგაციისთვის.,GPS Rental Tbilisi | [Your Brand],GPS-ის გაქირავება თბილისი | [Your Brand],Rent a Garmin GPS in Tbilisi. 15 GEL/day. Ideal for Svaneti and remote treks.,გაირიქავეთ Garmin GPS თბილისში. 15 ლარი/დღე. იდეალურია სვანეთისა და დაშორებული ტრეკებისთვის.
bundle-weekend-hiker,Weekend Hiker Kit Bundle,შაბათ-კვირის ლაშქრობის ნაკრების ბანდლი,Bundle,[Your Brand],"bundle,weekend,beginner-friendly",bundles,35,85,0,[Your Brand],Kit,Varies,All-season,Excellent,"40L backpack, sleeping bag (0°C), sleeping pad, headlamp",Complete kit for a weekend hike. Save 15% vs. renting separately.,სრული ნაკრები შაბათ-კვირის ლაშქრობისთვის. 15%-ით იანგება ცალკე გაქირავების შედარებით.,Weekend Hiker Kit Rental Tbilisi | [Your Brand],შაბათ-კვირის ლაშქრობის ნაკრების გაქირავება თბილისი | [Your Brand],Rent a complete weekend hiking kit in Tbilisi. 35 GEL/day or 85 GEL/weekend. Free return pickup.,გაირიქავეთ სრული შაბათ-კვირის ლაშქრობის ნაკრები თბილისში. 35 ლარი/დღე ან 85 ლარი/შაბათ-კვირა. უფასო დაბრუნების აღება.
bundle-family-camp,Family Camp Kit Bundle,ოჯახური ბანაკის ნაკრების ბანდლი,Bundle,[Your Brand],"bundle,family,beginner-friendly",bundles,55,150,0,[Your Brand],Kit,Varies,All-season,Excellent,"4P tent, 4 sleeping bags, camp stove, headlamps (x4)",Everything for a family camping trip. Save 20% vs. separate rental.,ყველაფერი ოჯახური ბანაკის მოგზაურობისთვის. 20%-ით იანგება ცალკე გაქირავების შედარებით.,Family Camp Kit Rental Tbilisi | [Your Brand],ოჯახური ბანაკის ნაკრების გაქირავება თბილისი | [Your Brand],Rent a family camping kit delivered in Tbilisi. 55 GEL/day. Door delivery 5 GEL.,გაირიქავეთ ოჯახური ბანაკის ნაკრები მიწოდებით თბილისში. 55 ლარი/დღე. კარის მიწოდება 5 ლარი.
bundle-solo-trek,Solo Trek Kit Bundle,სოლო ტრეკის ნაკრების ბანდლი,Bundle,[Your Brand],"bundle,solo,trekking",bundles,45,120,0,[Your Brand],Kit,Varies,All-season,Excellent,"65L backpack, 1P tent, sleeping bag, pad, stove, headlamp",Complete solo multi-day trekking kit. Save 18% vs. separate rental.,სრული სოლო მრავალდღიანი ტრეკის ნაკრები. 18%-ით იანგება ცალკე გაქირავების შედარებით.,Solo Trek Kit Rental Tbilisi | [Your Brand],სოლო ტრეკის ნაკრების გაქირავება თბილისი | [Your Brand],Rent a complete solo trekking kit in Tbilisi. 45 GEL/day. Free return pickup.,გაირიქავეთ სრული სოლო ტრეკის ნაკრები თბილისში. 45 ლარი/დღე. უფასო დაბრუნების აღება.
